 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  2; 24; 15.0000;235.0000; 26641;     0;     0;     0; 26641;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.046949;0.040228;0.087176;0.046949;0.040228;0.087176;0.046949;0.040228;0.087176
 All;  2; 25; 15.0000;245.0000; 26645;     0;     0;     0; 26645;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.033317;0.040228;0.073545;0.033317;0.040228;0.073545;0.033317;0.040228;0.073545
 All;  2; 26; 15.0000;255.0000; 26641;     0;     0;     0; 26641;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.028417;0.040228;0.068645;0.028417;0.040228;0.068645;0.028417;0.040228;0.068645
 All;  2; 27; 15.0000;265.0000; 26628;     0;     0;     0; 26628;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.027907;0.040228;0.068135;0.027907;0.040228;0.068135;0.027907;0.040228;0.068135
 All;  2; 28; 15.0000;275.0000; 26642;     0;     0;     0; 26642;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.032804;0.040228;0.073031;0.032804;0.040228;0.073031;0.032804;0.040228;0.073031
 All;  2; 29; 15.0000;285.0000; 24975;     0;     0;  1671; 26646;0.004677;0.000000;0.004677;0.937289;1.000000;0.937289;0.965249;1.000000;0.965249;0.438370;0.438370;0.002412;0.001570;0.051429;0.040228;0.091656;0.051429;0.040228;0.091656;0.049642;0.037705;0.087346
 All;  2; 30; 15.0000;295.0000; 17855;     0;     0;  8786; 26641;0.004677;0.000000;0.004677;0.670208;1.000000;0.670208;0.291633;1.000000;0.291633;0.313456;0.313456;0.002412;0.001570;0.002219;0.040228;0.042447;0.002219;0.040228;0.042447;0.000647;0.026961;0.027608
 All;  2; 31; 15.0000;305.0000;   866;     0;     0; 25792; 26658;0.004677;0.000000;0.004677;0.032486;1.000000;0.032486;1.000000;1.000000;1.000000;0.015193;0.015193;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.001307;0.001307
 All;  2; 32; 15.0000;315.0000;   173;     0;     0; 26454; 26627;0.004677;0.000000;0.004677;0.006497;1.000000;0.006497;1.000000;1.000000;1.000000;0.003039;0.003039;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.000261;0.000261
 All;  2; 33; 15.0000;325.0000;     9;     0;     0; 26632; 26641;0.004677;0.000000;0.004677;0.000338;1.000000;0.000338;1.000000;1.000000;1.000000;0.000158;0.000158;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.000014;0.000014
